what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.ui,1228320783405
started,bundle,org.eclipse.wst.html.core,1.1.202.v200808281704,org.eclipse.wst.html.core,1228320783415
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228320832631
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228320836195
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228321783463
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1228321784883
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228321786929
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1228321827652
started,bundle,org.eclipse.ecf.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.filetransfer,1228321828659
started,bundle,org.eclipse.ecf.provider.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.provider.filetransfer,1228321828664
started,bundle,org.eclipse.ecf.identity,2.0.0.v20080611-1715,org.eclipse.ecf.identity,1228321828670
started,bundle,org.eclipse.ecf,2.0.0.v20080611-1715,org.eclipse.ecf,1228321828679
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.1.R34x_v20080808-1156,org.eclipse.equinox.p2.updatesite,1228321828788
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228321864472
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk.update,1228321864530
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228321864808
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228321877152
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228321877237
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228321883011
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1228321886369
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1228321886392
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1228321886404
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1228321886406
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228321886477
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1228321886732
